0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8,23255,22255,20228,19220,25241,24255,24248,27248,25246,27243,23255,25242,29255,26255,18235,23255
8,191,11255,9255,3255,16255,20255,15213,20255,16255,21222,13219,18235,26240,11255,13255,9255
8,19255,19255,11238,24239,23249,24255,22247,23255,27249,26239,24239,25242,21243,23255,24255,21244
8,31191,33160,34235,20255,20255,27255,24232,26242,15255,23204,24255,9255,36255,24255,36255,36255
8,19249,26226,22239,26198,15170,4223,13255,177255,11255,24255,24255,36255,13255,24255,13255,23255
8,11255,23255,15196,24255,20255,27244,13255,14237,20255,24213,24255,24255,42255,42255,38255,21238
8,255,8255,15255,24255,18241,9255,255,30255,6255,24255,22255,19255,13255,24213,24255,17255
8,255,11255,3255,11255,18255,13191,8219,3255,21255,27234,26239,18232,13230,11255,10255,30255
8,9255,14255,11255,13255,15255,11210,255,6223,20255,25255,13255,13230,25255,24255,11255,23255
8,21237,3255,4223,13255,11255,6255,177255,5237,24255,26255,18232,25235,26223,25255,13255,17240
8,11241,18241,12232,22244,23255,23255,23255,20255,19255,24246,26243,16239,26255,25255,13255,14255
8,22255,22229,170153,15255,25195,20255,19234,16216,26249,26255,21246,26239,25255,16255,19255,24246
8,177255,20191,3255,177230,27255,22249,22245,3255,24247,25255,23246,23243,24245,27235,19241,17238
8,15191,19223,9255,19248,23217,25255,20232,21248,21255,30248,27255,21255,22255,24255,21255,22248
8,255,20255,15255,16255,18242,26255,21248,26232,26255,27255,26241,20232,24237,26255,20255,22226
8,5219,9255,10224,255,2239,6255,241,3255,19255,15255,12243,5255,10235,17237,5255,15255
8,2239,255,6255,30255,22216,9240,8255,255,20246,17255,18216,11255,12255,14255,5255,8255
8,9242,238,3255,3255,5241,6231,237,12247,16246,16255,3255,13230,5197,22255,5235,8255
8,2255,18230,20153,17189,6255,12255,5228,2201,18244,19247,16241,5195,13240,16243,8255,5207
8,12246,8243,240,13247,13255,9255,11215,11246,17244,10236,13248,5255,13227,15230,9255,13245
8,177230,3209,3234,4255,11246,14248,4255,255,17255,18243,16255,12219,15247,13245,237,11245
