0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8,177255009,255011,6213006,24255005,255010,11255014,235013,178255016,15255032,17255028,8239016,5255013,16255026,11255021,2255015,15255033
8,15255033,11237029,15240033,5255012,19247030,13255028,13255031,19255025,15255033,15248036,17255028,13255025,15255032,16255026,17255041,14255022
9,163030076,122038093,116065086,159113036,124255008,127255013,164255020,177040058,113034119,110068097,109062087,109065082,111072082,110061075,108069063,116051070
9,140012065,125024065,116116033,155255012,120235013,120255010,124255008,166056068,110053086,107056087,107065075,113066062,111063081,111066077,111071072,111075068
9,125031090,124025082,111035094,153092050,125155028,140096053,141052078,175031100,111063081,109046116,108041106,111050101,109058093,115047097,112042091,124015138
9,141034053,120082031,122255016,118255014,122255016,120255010,135255012,142058048,111054094,112054103,111054094,109065082,109065082,109063085,113057072,116059073
9,115052089,116052074,116076067,111089066,108061071,120031083,120031082,120034089,112079084,111053097,109079068,112073077,114065094,111073080,114082078,118061080
9,116063069,120041062,122059061,115064072,112069096,122036099,118056087,130029079,112063106,112075099,112070080,112084076,112083077,112074076,112095070,116041094
9,129061059,113058070,120051060,115059078,109058092,114057111,113037083,156040064,111058088,115058079,111076090,112079081,106057099,112077083,111074069,116061083
9,124029070,122056064,113064064,112076074,112060094,120034091,138034074,119066081,112085075,114073098,112080080,110064072,112072078,112064088,112077083,112084076
9,136255015,150050061,112129073,129073049,116125059,120255020,8255063,158234012,112062091,109055097,112074090,119069078,112071079,114080080,112081069,116056091
9,122219021,135043072,124056064,116048079,112063105,116048080,125255018,161038,110054085,114064096,110056082,111076067,111072082,111071072,112094068,116052073
9,136140031,120044070,116056068,114076090,114084076,123235026,124255016,133255007,119065082,112068098,111075078,115073063,111072081,114091084,112084067,115059078
9,115053087,120038081,122047076,116112075,109211168,110229169,107176152,115178162,116052099,111057089,115056082,115059078,112081082,129038093,111080064,128036079
9,114082093,133026068,113062066,111078075,130026088,113040102,120035088,128037075,115049094,116045085,111057103,115053086,113050082,110057080,111063081,113046088
9,120040076,116052074,116061063,111059086,104046105,113038106,112078101,125040070,111061083,116043088,110047097,120037083,116052074,109066081,113057071,115055083
9,120030085,120031081,128037075,111057090,113038106,115038122,120026099,120022091,112052107,114051121,110041112,113044093,111048106,111057103,114070088,115055084
9,125027057,120038067,120046066,106051075,111055092,110050092,114018069,177049047,116046083,112052107,111061084,112054071,109063085,110078085,115066070,113046088
9,125024064,130024094,111071083,107095097,107073102,115041113,116062090,130031073,109047113,107060120,110071094,111062082,115052089,105053086,109064084,109059091
9,127241018,112064100,109059104,111071083,111056104,110046099,138032079,123255021,111035096,111055107,111038135,107053091,109062087,106061092,105075082,113045091
9,116054094,133024074,120038081,130028083,114067106,110037124,112040095,130026089,107046105,105055111,112058109,116037097,111066089,107058083,105058079,138028092
9,117059100,116040089,107059082,113039078,111037089,160020075,120006080,130023098,109049110,109052117,111027093,102060093,107058083,111064080,109031066,108056077
9,141025071,107091053,118203034,122215019,153094057,118255013,119255022,120033061,110069096,110055120,105049104,111071083,107061079,113053077,108058075,105062074
9,107239173,117255034,10060141,163139044,112062091,135113027,170073105,109088099,106045126,106051111,108046094,104053092,105048095,101048090,105053097,112035108
9,110046099,125033102,113043072,152179020,134101048,119148038,156013099,124024084,106063106,109056110,111047070,125021072,110057081,108065067,110061075,112044086
9,116248036,122223016,139206021,123255021,124255008,161132031,127234024,177115093,109051105,107048100,108057076,113039078,112049078,105057080,111028091,112047081
9,111062111,120255020,109074072,108052084,106034111,118047104,177014186,63024255,107062115,104064107,105050091,110046099,107058083,107049098,103049083,106064103
9,116126075,118049098,105060076,105084073,128082062,133062086,130149041,175099075,105061101,106051111,107077093,107065075,107056087,105055083,105068068,109063085
9,115015104,112046083,110059078,110062074,125234012,122255018,122255020,161164042,110064104,106053105,113047086,107064076,105065078,105067069,107069070,109065082
9,125021072,116043088,111229069,105130129,96206126,118209066,125043065,155105061,110048095,111052113,106058096,111038087,106069081,106068083,108052084,110059078
9,152036100,122255016,133083049,23016255,148116033,114133046,111205076,170174044,107052093,109078095,111053097,126020064,108054080,109056096,109075071,124025082
9,118067095,112050076,112085087,124007255,108080124,106073221,107095186,125020076,111067087,107081094,105076108,109060089,114080089,114075095,112065098,109077080
9,120026097,109056096,112044086,112073077,120028092,110049094,113050082,116047076,116059095,112057111,105047098,111065090,109085093,112064099,110076087,110075088
9,97009255,110228066,123097058,128239016,116175051,103028083,132082056,125079061,109060089,105073112,109079094,109080092,109074107,112086086,111078088,109075071
10,99154106,99159109,103169107,109212185,110162099,116144085,116167110,99154093,100182125,100171112,99165099,100168108,101168109,100170102,101168102,101158095
10,100251065,100252083,84074161,56045192,95170255,100220133,98216105,99252083,101252086,99255080,100252079,101242079,100252091,101255074,102248076,103255067
10,98244070,105255061,105255063,99249089,99222107,99227110,98216092,97158097,99255103,98250101,101251068,100255075,100252084,99255077,101251067,100225085
10,99224091,102241113,101250098,102250093,99246085,98213102,98211092,97223089,99250113,99255103,100255082,100255075,100255084,100246086,102250055,101255074
