0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
4,63092119,38072095,74101127,48072095,34067093,47075099,64090107,58082099,82108132,93115137,60089110,60092121,55076104,70095113,56072085,62086106,60084102,51075097,56080098,72093111,73096122,50076097,47070086,45072093
4,2026,12044,1001026,1004035,3015045,6013030,45073097,83104125,87109134,62090119,106124144,49078106,58083109,58083111,65089111,63086108,62087113,58086113,49076102,51079110,31055083,54071099,46070092,50073095
4,86110137,77101127,95092092,7030063,1008035,4039089,9042083,8041086,96121146,100124145,75106137,107136155,79103125,106129146,101119136,85105128,83104125,69092108,62087109,63088108,56078094,62084109,65092118,66089117
4,27066106,28068109,25064108,40076112,24062096,29058098,29060099,37069101,2023078,30084,7030072,1000035,45076107,54083110,76110140,58089120,38071100,43080114,43072103,46076103,42072101,39069098,27058089,43074107
4,13049097,65125189,1027061,3029069,26062099,52092127,49086114,83121154,90125154,96139182,65046054,7028063,61096129,85119148,85118147,80110139,74108137,72108138,72104130,87119146,70105138,65103133,61095124,71105135
4,2019058,30071,50079118,2020057,1026068,48086116,63100137,70111144,66106141,66107140,15062118,20049089,89121149,84116145,96130154,84114139,77110136,52089115,88127159,60094123,75107131,62099127,65098124,61093122
4,1014062,22066108,15047086,2029067,16056097,26060099,39075115,54090130,34072114,18062118,7045089,16014043,35072107,67103136,60094124,76109144,44083121,49084122,70105139,49082115,43071104,34067100,28060092,35077116
4,37078117,35077114,30075119,34074116,21062100,33067110,40079117,61097137,67103141,55095134,54090128,32076113,57094132,77120159,57097132,58095133,39076110,44082117,31066102,56091121,87129161,54087122,54082114,32070102
4,25070113,33076115,31072112,28067105,21065106,37076114,37078111,41081120,41083123,41076125,17062105,26071114,36072108,59095131,75111149,47086124,50090125,22058097,38071106,58089120,71105147,46079112,55091124,47088127
4,17058097,20058093,14053091,28064092,5043077,17053092,10059104,31069104,36074109,24061098,34071109,15055090,39076110,31061094,43074105,39072105,39068100,11044073,24054085,27055089,27056087,27058089,17046077,27059093
4,22060102,28072113,23062101,17060103,24065104,24063101,22062097,49087117,41080118,25068111,29070105,23066105,40071104,57088121,63094125,47081111,33067101,23056087,29059088,26057088,39073103,33063089,26059092,37069102
4,30069107,38073106,29063093,34065096,30069101,19058087,36070099,35064098,7030076,35072110,22065105,23060089,51074102,40069096,61088115,69101129,45072097,35062088,36062086,34055076,36057075,28052072,31055079,9038065
4,24062097,45092136,24058088,26059091,24059092,26058093,29070099,44077110,1000024,39076111,12034078,20060097,57096132,52080110,66089115,62088114,42072101,10038069,39062088,31059083,35056083,22048072,26049075,23047075
4,21056102,51093130,46085123,51082114,39079114,56091125,36080122,62101133,61098132,2018066,48093130,3039095,52083114,75105130,82111138,96124154,72102131,50082110,60090119,54081107,61086112,58083110,47074101,58088117
5,0,0,0,0,0,0,0,0,0,0,0,0,1010114,7110,7114,1009106,84,1000092,1001099,2000100,1000096,90,1000090,2000084
5,0,0,0,0,0,0,0,0,0,0,0,0,94,90,2018124,1000103,1092,1000093,1000094,5008117,1000104,2002102,90,1001091
5,0,0,0,0,0,0,0,0,0,0,0,0,20129,19126,1015125,1014123,15122,3022127,3006114,1012118,3011125,1010122,1006116,1003111
5,0,0,0,0,0,0,0,0,0,0,0,0,94,2001094,1001091,95,90,90,88,2002088,87,1000096,1000080,1081
5,0,0,0,0,0,0,0,0,0,0,0,0,1001091,3109,94,89,1000094,1000086,90,90,1001094,86,1082,1082
5,0,0,0,0,0,0,0,0,0,0,0,0,1092,89,104,1082,3000079,1089,1000074,86,84,88,1082,1000088
5,0,0,0,0,0,0,0,0,0,0,0,0,1002112,1001105,1000095,1105,1105,2001095,95,1000096,1000096,88,2000089,90
5,0,0,0,0,0,0,0,0,0,0,0,0,1092,1093,2001105,98,90,95,1000093,95,100,1092,1000075,1089
5,1006125,0,0,0,0,0,0,0,0,0,0,0,1003107,1007122,2003121,1004121,3007119,2004115,104,108,110,7007121,1001110,1105
5,0,0,0,0,0,0,0,0,0,0,0,0,100,2000089,3000098,1001091,1089,4001080,76,2000079,85,76,74,2001075
5,0,0,0,0,0,0,0,0,0,0,0,0,96,95,89,78,1001079,87,80,90,91,1001085,1084,1000097
5,0,0,0,0,0,0,0,0,0,0,0,0,94,93,1092,1003097,87,84,88,87,94,1001079,75,78
5,0,0,0,0,0,0,0,0,0,0,0,0,1000110,1002112,108,1109,1111,2004106,112,106,2116,1109,2001111,1000098
5,0,0,0,0,0,0,0,0,0,0,0,0,111,1000110,1001093,2005110,106,110,1096,98,2001104,98,1089,1000096
5,0,0,0,0,0,0,0,0,0,0,0,0,1001095,100,1001101,1001091,94,94,2000099,2001099,1003111,90,94,90
5,0,0,0,0,0,0,0,0,0,0,0,0,2001093,1000089,1000074,1000080,1001085,1000074,1000074,80,2001081,1069,1000072,2000076
5,0,0,0,0,0,0,0,0,0,0,0,0,1099,3108,102,9113,1014120,94,1000086,1000103,103,1099,1000099,4006108
5,0,0,0,0,0,0,0,0,0,0,0,0,1000103,3004113,1004108,1000098,2104,2107,1000092,95,94,1089,100,94
5,0,0,0,0,0,0,0,0,0,0,0,0,2005107,2104,3021134,1091,3108,2103,1099,98,97,1001095,87,1001095
5,0,0,0,0,0,0,0,0,0,0,0,0,2007110,1007104,4106,10117,1092,86,1093,1098,1099,1000080,80,86
5,2007109,0,0,0,0,0,0,0,0,0,0,0,4103,1005107,4106,1099,3098,1096,94,94,2000100,95,1092,94
5,0,0,0,0,0,0,0,0,0,0,0,0,101,1014115,1011112,4109,1001095,2001097,90,99,90,2001098,4002102,98
5,0,0,0,0,0,0,0,0,0,0,0,0,1000093,2000079,1001095,100,1001079,1000087,1096,87,1000092,1089,1001085,1000080
5,0,0,0,0,0,0,0,0,0,0,0,0,1001091,90,1000096,1000081,1081,5006098,3000086,88,84,1000080,1000081,78
5,0,0,0,0,0,0,0,0,0,0,0,0,74,4083,1000070,1081,1000074,1000074,1075,1000075,1082,2001075,64,2001065
5,1001109,0,0,0,0,0,0,0,0,0,0,0,88,101,90,1089,3001101,2001095,1000093,1000099,90,98,1000086,2001075
